Date,Value,Anomaly
195001,11.4,-1.9
195002,15.3,-2.5
195003,22.2,-6.8
195004,34.7,-8.3
195005,53.1,-2.0
195006,63.7,-0.8
195007,65.4,-3.6
195008,61.9,-4.8
195009,57.2,-1.2
195010,50.8,4.0
195011,26.8,-5.6
195012,11.2,-8.1
195101,9.5,-3.8
195102,16.0,-1.8
195103,23.2,-5.8
195104,40.3,-2.7
195105,58.0,2.9
195106,60.7,-3.8
195107,67.2,-1.8
195108,63.0,-3.7
195109,54.5,-3.9
195110,46.4,-0.4
195111,23.3,-9.1
195112,16.0,-3.3
195201,14.0,0.7
195202,21.6,3.8
195203,24.8,-4.2
195204,45.8,2.8
195205,53.9,-1.2
195206,65.9,1.4
195207,69.9,0.9
195208,65.0,-1.7
195209,58.5,0.1
195210,41.0,-5.8
195211,33.5,1.1
195212,22.8,3.5
195301,17.5,4.2
195302,17.4,-0.4
195303,29.2,0.2
195304,39.0,-4.0
195305,54.6,-0.5
195306,66.1,1.6
195307,68.4,-0.6
195308,68.1,1.4
195309,58.4,0.0
195310,52.4,5.6
195311,36.4,4.0
195312,21.5,2.2
195401,12.2,-1.1
195402,27.7,9.9
195403,26.0,-3.0
195404,44.4,1.4
195405,49.1,-6.0
195406,66.6,2.1
195407,68.8,-0.2
195408,65.0,-1.7
195409,57.5,-0.9
195410,45.6,-1.2
195411,34.4,2.0
195412,20.7,1.4
195501,12.9,-0.4
195502,15.0,-2.8
195503,24.7,-4.3
195504,49.4,6.4
195505,57.9,2.8
195506,63.5,-1.0
195507,73.8,4.8
195508,71.1,4.4
195509,59.0,0.6
195510,48.1,1.3
195511,26.4,-6.0
195512,13.1,-6.2
195601,14.8,1.5
195602,15.2,-2.6
195603,23.8,-5.2
195604,39.4,-3.6
195605,53.5,-1.6
195606,67.1,2.6
195607,65.3,-3.7
195608,66.1,-0.6
195609,55.2,-3.2
195610,52.6,5.8
195611,31.4,-1.0
195612,20.8,1.5
195701,7.2,-6.1
195702,19.3,1.5
195703,28.2,-0.8
195704,43.8,0.8
195705,53.2,-1.9
195706,63.9,-0.6
195707,70.4,1.4
195708,66.1,-0.6
195709,56.0,-2.4
195710,45.0,-1.8
195711,31.1,-1.3
195712,21.7,2.4
195801,17.6,4.3
195802,12.7,-5.1
195803,29.6,0.6
195804,44.0,1.0
195805,54.7,-0.4
195806,59.3,-5.2
195807,66.3,-2.7
195808,66.7,0.0
195809,58.9,0.5
195810,49.3,2.5
195811,33.5,1.1
195812,11.6,-7.7
195901,6.5,-6.8
195902,12.2,-5.6
195903,26.6,-2.4
195904,42.9,-0.1
195905,58.6,3.5
195906,65.7,1.2
195907,68.0,-1.0
195908,70.5,3.8
195909,59.6,1.2
195910,42.8,-4.0
195911,23.0,-9.4
195912,26.5,7.2
196001,16.6,3.3
196002,17.8,0.0
196003,18.5,-10.5
196004,44.4,1.4
196005,53.4,-1.7
196006,61.4,-3.1
196007,67.0,-2.0
196008,67.9,1.2
196009,59.8,1.4
196010,46.8,0.0
196011,34.4,2.0
196012,16.6,-2.7
196101,13.0,-0.3
196102,24.0,6.2
196103,31.5,2.5
196104,38.9,-4.1
196105,52.0,-3.1
196106,64.5,0.0
196107,68.0,-1.0
196108,67.9,1.2
196109,58.7,0.3
196110,48.5,1.7
196111,31.7,-0.7
196112,16.1,-3.2
196201,8.7,-4.6
196202,13.3,-4.5
196203,27.1,-1.9
196204,41.6,-1.4
196205,58.9,3.8
196206,63.3,-1.2
196207,65.3,-3.7
196208,66.2,-0.5
196209,55.0,-3.4
196210,49.1,2.3
196211,33.4,1.0
196212,17.6,-1.7
196301,3.1,-10.2
196302,10.1,-7.7
196303,30.4,1.4
196304,45.3,2.3
196305,52.8,-2.3
196306,66.2,1.7
196307,69.8,0.8
196308,64.8,-1.9
196309,58.6,0.2
196310,56.2,9.4
196311,37.0,4.6
196312,10.3,-9.0
196401,19.7,6.4
196402,20.6,2.8
196403,26.4,-2.6
196404,43.9,0.9
196405,59.4,4.3
196406,64.7,0.2
196407,71.0,2.0
196408,64.2,-2.5
196409,56.8,-1.6
196410,45.2,-1.6
196411,35.0,2.6
196412,14.3,-5.0
196501,10.4,-2.9
196502,12.6,-5.2
196503,20.8,-8.2
196504,40.0,-3.0
196505,58.1,3.0
196506,62.6,-1.9
196507,66.4,-2.6
196508,64.6,-2.1
196509,54.0,-4.4
196510,47.5,0.7
196511,32.3,-0.1
196512,25.7,6.4
196601,5.3,-8.0
196602,16.9,-0.9
196603,32.2,3.2
196604,39.8,-3.2
196605,50.0,-5.1
196606,65.3,0.8
196607,71.2,2.2
196608,64.5,-2.2
196609,56.9,-1.5
196610,46.0,-0.8
196611,31.4,-1.0
196612,18.2,-1.1
196701,16.1,2.8
196702,9.8,-8.0
196703,28.4,-0.6
196704,42.9,-0.1
196705,49.2,-5.9
196706,64.3,-0.2
196707,66.1,-2.9
196708,62.6,-4.1
196709,56.7,-1.7
196710,45.2,-1.6
196711,28.9,-3.5
196712,20.5,1.2
196801,13.7,0.4
196802,14.2,-3.6
196803,36.0,7.0
196804,45.2,2.2
196805,51.8,-3.3
196806,63.6,-0.9
196807,67.6,-1.4
196808,66.7,0.0
196809,58.4,0.0
196810,48.9,2.1
196811,32.3,-0.1
196812,17.7,-1.6
196901,11.0,-2.3
196902,18.5,0.7
196903,23.7,-5.3
196904,44.9,1.9
196905,55.5,0.4
196906,57.4,-7.1
196907,67.8,-1.2
196908,69.0,2.3
196909,58.1,-0.3
196910,44.0,-2.8
196911,30.8,-1.6
196912,19.6,0.3
197001,6.2,-7.1
197002,14.8,-3.0
197003,25.1,-3.9
197004,43.9,0.9
197005,55.2,0.1
197006,65.8,1.3
197007,70.4,1.4
197008,67.3,0.6
197009,58.4,0.0
197010,48.6,1.8
197011,31.3,-1.1
197012,18.1,-1.2
197101,6.2,-7.1
197102,15.3,-2.5
197103,24.6,-4.4
197104,42.4,-0.6
197105,51.6,-3.5
197106,67.8,3.3
197107,65.4,-3.6
197108,64.2,-2.5
197109,60.2,1.8
197110,53.3,6.5
197111,32.7,0.3
197112,20.5,1.2
197201,7.4,-5.9
197202,11.8,-6.0
197203,23.9,-5.1
197204,38.4,-4.6
197205,58.1,3.0
197206,62.2,-2.3
197207,66.6,-2.4
197208,66.3,-0.4
197209,56.8,-1.6
197210,43.0,-3.8
197211,31.1,-1.3
197212,13.8,-5.5
197301,17.4,4.1
197302,19.8,2.0
197303,37.6,8.6
197304,41.6,-1.4
197305,51.0,-4.1
197306,65.8,1.3
197307,69.5,0.5
197308,68.8,2.1
197309,57.9,-0.5
197310,52.3,5.5
197311,32.6,0.2
197312,17.5,-1.8
197401,13.5,0.2
197402,15.4,-2.4
197403,28.4,-0.6
197404,44.3,1.3
197405,51.3,-3.8
197406,61.0,-3.5
197407,70.7,1.7
197408,64.8,-1.9
197409,53.2,-5.2
197410,46.5,-0.3
197411,33.9,1.5
197412,23.2,3.9
197501,15.6,2.3
197502,16.8,-1.0
197503,22.8,-6.2
197504,36.8,-6.2
197505,58.4,3.3
197506,64.4,-0.1
197507,70.2,1.2
197508,67.0,0.3
197509,53.9,-4.5
197510,49.3,2.5
197511,37.0,4.6
197512,19.2,-0.1
197601,10.0,-3.3
197602,24.1,6.3
197603,29.7,0.7
197604,46.0,3.0
197605,52.7,-2.4
197606,66.6,2.1
197607,70.0,1.0
197608,66.4,-0.3
197609,56.6,-1.8
197610,41.4,-5.4
197611,24.7,-7.7
197612,8.4,-10.9
197701,0.6,-12.7
197702,18.7,0.9
197703,35.8,6.8
197704,48.9,5.9
197705,63.0,7.9
197706,63.1,-1.4
197707,71.0,2.0
197708,62.8,-3.9
197709,58.1,-0.3
197710,45.8,-1.0
197711,31.6,-0.8
197712,15.8,-3.5
197801,7.7,-5.6
197802,9.9,-7.9
197803,26.0,-3.0
197804,41.4,-1.6
197805,56.5,1.4
197806,63.5,-1.0
197807,66.9,-2.1
197808,67.0,0.3
197809,61.8,3.4
197810,45.9,-0.9
197811,30.8,-1.6
197812,14.4,-4.9
197901,2.5,-10.8
197902,8.3,-9.5
197903,27.7,-1.3
197904,39.6,-3.4
197905,51.8,-3.3
197906,63.0,-1.5
197907,68.2,-0.8
197908,64.7,-2.0
197909,59.3,0.9
197910,44.4,-2.4
197911,31.2,-1.2
197912,24.2,4.9
198001,13.6,0.3
198002,14.1,-3.7
198003,24.8,-4.2
198004,44.7,1.7
198005,57.5,2.4
198006,63.1,-1.4
198007,70.3,1.3
198008,67.4,0.7
198009,57.2,-1.2
198010,42.2,-4.6
198011,33.3,0.9
198012,17.6,-1.7
198101,15.1,1.8
198102,21.3,3.5
198103,33.0,4.0
198104,45.6,2.6
198105,53.2,-1.9
198106,64.4,-0.1
198107,68.2,-0.8
198108,66.7,0.0
198109,56.2,-2.2
198110,43.6,-3.2
198111,35.7,3.3
198112,18.6,-0.7
198201,3.3,-10.0
198202,14.6,-3.2
198203,26.9,-2.1
198204,39.0,-4.0
198205,59.2,4.1
198206,58.8,-5.7
198207,69.6,0.6
198208,64.7,-2.0
198209,56.7,-1.7
198210,47.9,1.1
198211,31.1,-1.3
198212,25.4,6.1
198301,18.7,5.4
198302,25.2,7.4
198303,31.5,2.5
198304,39.5,-3.5
198305,49.9,-5.2
198306,64.5,0.0
198307,72.8,3.8
198308,71.0,4.3
198309,59.1,0.7
198310,47.0,0.2
198311,34.2,1.8
198312,6.9,-12.4
198401,11.2,-2.1
198402,27.2,9.4
198403,23.7,-5.3
198404,44.5,1.5
198405,51.9,-3.2
198406,65.8,1.3
198407,67.6,-1.4
198408,69.2,2.5
198409,55.9,-2.5
198410,49.5,2.7
198411,32.2,-0.2
198412,20.2,0.9
198501,10.2,-3.1
198502,14.6,-3.2
198503,34.1,5.1
198504,47.9,4.9
198505,58.6,3.5
198506,61.2,-3.3
198507,67.9,-1.1
198508,64.1,-2.6
198509,58.0,-0.4
198510,46.2,-0.6
198511,26.6,-5.8
198512,7.5,-11.8
198601,14.7,1.4
198602,15.7,-2.1
198603,32.1,3.1
198604,47.8,4.8
198605,57.2,2.1
198606,63.9,-0.6
198607,70.1,1.1
198608,63.2,-3.5
198609,58.1,-0.3
198610,46.6,-0.2
198611,28.0,-4.4
198612,22.1,2.8
198701,19.4,6.1
198702,27.1,9.3
198703,35.1,6.1
198704,48.5,5.5
198705,58.4,3.3
198706,68.0,3.5
198707,71.8,2.8
198708,66.2,-0.5
198709,59.2,0.8
198710,41.2,-5.6
198711,36.1,3.7
198712,24.8,5.5
198801,9.8,-3.5
198802,12.6,-5.2
198803,30.5,1.5
198804,44.0,1.0
198805,59.5,4.4
198806,68.2,3.7
198807,72.4,3.4
198808,70.9,4.2
198809,59.3,0.9
198810,41.2,-5.6
198811,33.9,1.5
198812,18.8,-0.5
198901,21.1,7.8
198902,10.0,-7.8
198903,25.0,-4.0
198904,41.3,-1.7
198905,54.2,-0.9
198906,62.7,-1.8
198907,70.3,1.3
198908,66.9,0.2
198909,57.3,-1.1
198910,47.8,1.0
198911,28.2,-4.2
198912,8.5,-10.8
199001,24.1,10.8
199002,20.4,2.6
199003,33.3,4.3
199004,45.5,2.5
199005,51.8,-3.3
199006,64.9,0.4
199007,67.8,-1.2
199008,66.7,0.0
199009,60.3,1.9
199010,45.1,-1.7
199011,36.9,4.5
199012,17.7,-1.6
199101,10.6,-2.7
199102,22.1,4.3
199103,32.0,3.0
199104,46.7,3.7
199105,59.6,4.5
199106,68.2,3.7
199107,68.4,-0.6
199108,68.1,1.4
199109,56.4,-2.0
199110,45.4,-1.4
199111,26.3,-6.1
199112,20.8,1.5
199201,20.3,7.0
199202,25.4,7.6
199203,30.1,1.1
199204,40.4,-2.6
199205,56.2,1.1
199206,61.6,-2.9
199207,63.3,-5.7
199208,62.7,-4.0
199209,56.4,-2.0
199210,45.2,-1.6
199211,30.5,-1.9
199212,20.7,1.4
199301,15.1,1.8
199302,16.8,-1.0
199303,28.4,-0.6
199304,39.8,-3.2
199305,54.8,-0.3
199306,61.5,-3.0
199307,67.9,-1.1
199308,67.9,1.2
199309,52.5,-5.9
199310,44.1,-2.7
199311,30.2,-2.2
199312,21.6,2.3
199401,3.9,-9.4
199402,11.7,-6.1
199403,31.6,2.6
199404,43.3,0.3
199405,55.4,0.3
199406,66.5,2.0
199407,67.0,-2.0
199408,64.0,-2.7
199409,61.1,2.7
199410,49.4,2.6
199411,36.5,4.1
199412,25.3,6.0
199501,16.8,3.5
199502,17.8,0.0
199503,32.3,3.3
199504,38.4,-4.6
199505,53.8,-1.3
199506,68.5,4.0
199507,70.0,1.0
199508,71.8,5.1
199509,56.4,-2.0
199510,47.3,0.5
199511,24.4,-8.0
199512,16.2,-3.1
199601,10.1,-3.2
199602,15.8,-2.0
199603,23.1,-5.9
199604,38.8,-4.2
199605,51.5,-3.6
199606,64.4,-0.1
199607,65.7,-3.3
199608,67.1,0.4
199609,58.8,0.4
199610,46.7,-0.1
199611,25.8,-6.6
199612,17.9,-1.4
199701,11.6,-1.7
199702,20.7,2.9
199703,28.9,-0.1
199704,41.1,-1.9
199705,49.3,-5.8
199706,66.0,1.5
199707,67.7,-1.3
199708,63.6,-3.1
199709,59.4,1.0
199710,47.5,0.7
199711,29.7,-2.7
199712,26.2,6.9
199801,20.3,7.0
199802,31.6,13.8
199803,31.3,2.3
199804,47.0,4.0
199805,60.9,5.8
199806,63.5,-1.0
199807,69.4,0.4
199808,68.9,2.2
199809,63.1,4.7
199810,49.0,2.2
199811,37.2,4.8
199812,25.4,6.1
199901,12.0,-1.3
199902,26.6,8.8
199903,31.8,2.8
199904,46.6,3.6
199905,58.0,2.9
199906,65.4,0.9
199907,72.4,3.4
199908,65.9,-0.8
199909,57.8,-0.6
199910,45.7,-1.1
199911,39.6,7.2
199912,22.7,3.4
200001,15.1,1.8
200002,25.3,7.5
200003,38.4,9.4
200004,42.9,-0.1
200005,57.1,2.0
200006,62.8,-1.7
200007,67.6,-1.4
200008,67.6,0.9
200009,58.1,-0.3
200010,50.5,3.7
200011,32.4,0.0
200012,8.6,-10.7
200101,19.1,5.8
200102,14.8,-3.0
200103,28.0,-1.0
200104,46.8,3.8
200105,57.0,1.9
200106,64.4,-0.1
200107,70.0,1.0
200108,69.7,3.0
200109,57.3,-1.1
200110,46.1,-0.7
200111,43.2,10.8
200112,27.5,8.2
200201,24.0,10.7
200202,26.7,8.9
200203,24.8,-4.2
200204,42.9,-0.1
200205,50.8,-4.3
200206,66.4,1.9
200207,72.7,3.7
200208,67.4,0.7
200209,61.6,3.2
200210,42.1,-4.7
200211,31.4,-1.0
200212,24.2,4.9
200301,13.7,0.4
200302,13.7,-4.1
200303,29.1,0.1
200304,42.6,-0.4
200305,53.8,-1.3
200306,63.1,-1.4
200307,68.4,-0.6
200308,70.1,3.4
200309,59.4,1.0
200310,46.8,0.0
200311,32.9,0.5
200312,24.8,5.5
200401,10.7,-2.6
200402,20.8,3.0
200403,33.6,4.6
200404,44.6,1.6
200405,53.1,-2.0
200406,62.0,-2.5
200407,66.8,-2.2
200408,62.2,-4.5
200409,63.1,4.7
200410,48.2,1.4
200411,36.7,4.3
200412,20.4,1.1
200501,14.2,0.9
200502,24.8,7.0
200503,27.4,-1.6
200504,47.7,4.7
200505,52.7,-2.4
200506,69.4,4.9
200507,70.7,1.7
200508,68.2,1.5
200509,63.3,4.9
200510,49.6,2.8
200511,34.5,2.1
200512,18.3,-1.0
200601,27.7,14.4
200602,18.4,0.6
200603,31.6,2.6
200604,49.0,6.0
200605,56.5,1.4
200606,65.1,0.6
200607,72.8,3.8
200608,68.0,1.3
200609,56.4,-2.0
200610,42.8,-4.0
200611,36.4,4.0
200612,27.2,7.9
200701,20.3,7.0
200702,11.7,-6.1
200703,34.6,5.6
200704,42.8,-0.2
200705,59.1,4.0
200706,66.9,2.4
200707,69.5,0.5
200708,68.4,1.7
200709,61.1,2.7
200710,52.6,5.8
200711,32.8,0.4
200712,17.1,-2.2
200801,14.7,1.4
200802,13.2,-4.6
200803,25.4,-3.6
200804,42.9,-0.1
200805,52.0,-3.1
200806,64.4,-0.1
200807,69.0,0.0
200808,66.5,-0.2
200809,60.5,2.1
200810,46.7,-0.1
200811,33.3,0.9
200812,12.7,-6.6
200901,6.1,-7.2
200902,20.4,2.6
200903,30.1,1.1
200904,43.0,0.0
200905,55.1,0.0
200906,63.6,-0.9
200907,63.7,-5.3
200908,64.8,-1.9
200909,61.4,3.0
200910,42.2,-4.6
200911,40.0,7.6
200912,18.2,-1.1
201001,15.1,1.8
201002,20.0,2.2
