Year,County,AvgTmp,AvgMaxTmp,AvgMinTmp,AvgPrecip,TotPrecip,MaxTmp,MinTmp,AvgMag,Fat,Inj,Count,MaxMag,TndOcc
1950,Dane County,21.866666666666664,31.400000000000002,12.366666666666667,1.9799999999999998,5.9399999999999995,34.8,8.0,,,,0.0,,0
1950,Dodge County,22.099999999999998,30.96666666666667,13.200000000000001,1.8099999999999998,5.43,34.2,10.3,,,,0.0,,0
1950,Fond du Lac County,20.933333333333334,29.599999999999998,12.299999999999999,1.8733333333333333,5.62,33.0,8.6,,,,0.0,,0
1950,Grant County,22.099999999999998,31.400000000000002,12.833333333333334,1.61,4.83,35.6,8.6,,,,0.0,,0
1950,Marathon County,14.066666666666668,24.5,3.6666666666666665,1.93,5.79,29.9,-3.2,,,,0.0,,0
1951,Dane County,19.866666666666667,29.0,10.733333333333334,2.0766666666666667,6.2299999999999995,35.7,3.0,,,,0.0,,0
1951,Dodge County,19.599999999999998,28.233333333333334,10.966666666666667,2.1366666666666667,6.41,34.6,3.4,2.0,0.0,0.0,1.0,2.0,1
1951,Fond du Lac County,18.766666666666666,27.166666666666668,10.4,2.17,6.51,33.6,2.9,,,,0.0,,0
1951,Grant County,19.833333333333332,28.466666666666665,11.266666666666666,2.3866666666666667,7.16,34.8,4.2,,,,0.0,,0
1951,Marathon County,14.633333333333335,24.266666666666666,5.033333333333334,1.9000000000000001,5.7,30.8,-1.8,,,,0.0,,0
1952,Dane County,24.400000000000002,32.63333333333333,16.133333333333333,1.9100000000000001,5.73,36.2,9.4,,,,0.0,,0
1952,Dodge County,23.7,31.96666666666667,15.5,1.97,5.91,35.6,9.2,,,,0.0,,0
1952,Fond du Lac County,22.833333333333332,30.86666666666667,14.866666666666667,1.6966666666666665,5.09,34.7,8.5,,,,0.0,,0
1952,Grant County,24.933333333333334,33.06666666666666,16.7,1.79,5.37,37.0,8.7,,,,0.0,,0
1952,Marathon County,18.3,28.03333333333333,8.566666666666668,1.3866666666666667,4.16,32.8,2.3,,,,0.0,,0
1953,Dane County,26.166666666666668,34.766666666666666,17.633333333333336,1.83,5.49,41.9,13.4,,,,0.0,,0
1953,Dodge County,25.866666666666664,33.63333333333333,18.066666666666666,1.8166666666666667,5.45,40.3,14.1,,,,0.0,,0
