Date,Value,Anomaly
195001,22.9,0.5
195002,25.8,-2.0
195003,31.6,-7.5
195004,43.8,-10.4
195005,65.5,-1.7
195006,75.9,-0.3
195007,77.2,-3.3
195008,74.0,-3.9
195009,68.4,-1.1
195010,62.3,5.1
195011,35.4,-5.2
195012,20.1,-7.1
195101,19.5,-2.9
195102,26.0,-1.8
195103,32.1,-7.0
195104,49.2,-5.0
195105,70.5,3.3
195106,71.9,-4.3
195107,78.7,-1.8
195108,73.1,-4.8
195109,64.9,-4.6
195110,55.9,-1.3
195111,32.2,-8.4
195112,23.9,-3.3
195201,24.0,1.6
195202,31.0,3.2
195203,33.9,-5.2
195204,58.6,4.4
195205,66.2,-1.0
195206,77.4,1.2
195207,81.3,0.8
195208,76.3,-1.6
195209,71.6,2.1
195210,54.6,-2.6
195211,43.2,2.6
195212,29.1,1.9
195301,25.6,3.2
195302,27.7,-0.1
195303,38.0,-1.1
195304,48.3,-5.9
195305,67.4,0.2
195306,78.1,1.9
195307,80.0,-0.5
195308,79.8,1.9
195309,71.1,1.6
195310,66.3,9.1
195311,46.6,6.0
195312,29.5,2.3
195401,21.7,-0.7
195402,37.0,9.2
195403,35.8,-3.3
195404,56.1,1.9
195405,60.2,-7.0
195406,78.1,1.9
195407,80.0,-0.5
195408,76.4,-1.5
195409,67.3,-2.2
195410,55.0,-2.2
195411,42.7,2.1
195412,27.9,0.7
195501,22.0,-0.4
195502,25.3,-2.5
195503,35.7,-3.4
195504,61.5,7.3
195505,71.2,4.0
195506,74.8,-1.4
195507,85.5,5.0
195508,83.3,5.4
195509,71.9,2.4
195510,58.8,1.6
195511,34.5,-6.1
195512,22.0,-5.2
195601,25.0,2.6
195602,27.0,-0.8
195603,34.4,-4.7
195604,50.6,-3.6
195605,65.8,-1.4
195606,79.4,3.2
195607,76.0,-4.5
195608,77.0,-0.9
195609,67.3,-2.2
195610,65.2,8.0
195611,39.4,-1.2
195612,29.0,1.8
195701,16.9,-5.5
195702,29.5,1.7
195703,38.9,-0.2
195704,54.8,0.6
195705,64.9,-2.3
195706,75.2,-1.0
195707,81.9,1.4
195708,77.6,-0.3
195709,67.5,-2.0
195710,55.8,-1.4
195711,37.7,-2.9
195712,30.2,3.0
195801,25.4,3.0
195802,22.7,-5.1
195803,38.8,-0.3
195804,56.3,2.1
195805,69.2,2.0
195806,71.7,-4.5
195807,77.9,-2.6
195808,79.4,1.5
195809,69.9,0.4
195810,60.1,2.9
195811,42.3,1.7
195812,20.8,-6.4
195901,16.7,-5.7
195902,24.0,-3.8
195903,37.5,-1.6
195904,54.2,0.0
195905,70.8,3.6
195906,77.6,1.4
