Date,Value,Anomaly
195001,-0.1,-4.4
195002,4.7,-3.1
195003,12.7,-6.3
195004,25.5,-6.3
195005,40.8,-2.1
195006,51.6,-1.2
195007,53.6,-3.9
195008,49.8,-5.6
195009,45.9,-1.4
195010,39.2,2.8
195011,18.2,-6.1
195012,2.3,-9.0
195101,-0.5,-4.8
195102,5.9,-1.9
195103,14.4,-4.6
195104,31.3,-0.5
195105,45.6,2.7
195106,49.5,-3.3
195107,55.8,-1.7
195108,53.0,-2.4
195109,44.0,-3.3
195110,36.9,0.5
195111,14.4,-9.9
195112,8.0,-3.3
195201,3.9,-0.4
195202,12.2,4.4
195203,15.6,-3.4
195204,32.9,1.1
195205,41.6,-1.3
195206,54.4,1.6
195207,58.6,1.1
195208,53.7,-1.7
195209,45.4,-1.9
195210,27.3,-9.1
195211,23.9,-0.4
195212,16.5,5.2
195301,9.4,5.1
195302,7.0,-0.8
195303,20.4,1.4
195304,29.6,-2.2
195305,41.9,-1.0
195306,54.1,1.3
195307,56.7,-0.8
195308,56.3,0.9
195309,45.7,-1.6
195310,38.6,2.2
195311,26.2,1.9
195312,13.5,2.2
195401,2.6,-1.7
195402,18.3,10.5
195403,16.2,-2.8
195404,32.6,0.8
195405,37.9,-5.0
195406,55.2,2.4
195407,57.6,0.1
195408,53.6,-1.8
195409,47.7,0.4
195410,36.1,-0.3
195411,26.2,1.9
195412,13.5,2.2
195501,3.8,-0.5
195502,4.6,-3.2
195503,13.6,-5.4
195504,37.3,5.5
195505,44.7,1.8
195506,52.2,-0.6
195507,62.1,4.6
195508,59.0,3.6
195509,46.1,-1.2
195510,37.4,1.0
195511,18.2,-6.1
195512,4.1,-7.2
195601,4.6,0.3
195602,3.5,-4.3
195603,13.3,-5.7
195604,28.3,-3.5
195605,41.1,-1.8
195606,54.7,1.9
195607,54.6,-2.9
195608,55.2,-0.2
195609,43.0,-4.3
195610,40.0,3.6
195611,23.3,-1.0
195612,12.6,1.3
195701,-2.5,-6.8
195702,9.1,1.3
195703,17.6,-1.4
195704,32.8,1.0
195705,41.4,-1.5
195706,52.7,-0.1
195707,59.0,1.5
195708,54.6,-0.8
195709,44.5,-2.8
195710,34.1,-2.3
195711,24.4,0.1
195712,13.3,2.0
195801,9.9,5.6
195802,2.8,-5.0
195803,20.3,1.3
195804,31.6,-0.2
195805,40.2,-2.7
195806,47.0,-5.8
195807,54.7,-2.8
195808,54.0,-1.4
195809,47.8,0.5
195810,38.5,2.1
195811,24.6,0.3
195812,2.5,-8.8
195901,-3.6,-7.9
195902,0.5,-7.3
195903,15.8,-3.2
195904,31.6,-0.2
195905,46.4,3.5
195906,53.9,1.1
195907,55.9,-1.6
195908,60.5,5.1
195909,48.8,1.5
195910,35.1,-1.3
195911,14.6,-9.7
195912,19.9,8.6
196001,9.2,4.9
196002,8.8,1.0
196003,6.4,-12.6
196004,33.7,1.9
196005,42.6,-0.3
196006,49.5,-3.3
196007,54.4,-3.1
196008,56.9,1.5
196009,49.5,2.2
196010,35.9,-0.5
196011,26.0,1.7
196012,7.9,-3.4
196101,3.4,-0.9
196102,13.6,5.8
196103,22.9,3.9
196104,28.8,-3.0
196105,38.4,-4.5
196106,51.5,-1.3
196107,56.3,-1.2
196108,55.7,0.3
196109,48.3,1.0
196110,37.9,1.5
196111,23.7,-0.6
196112,8.1,-3.2
196201,-0.1,-4.4
196202,4.3,-3.5
196203,18.0,-1.0
196204,30.3,-1.5
196205,48.3,5.4
196206,51.6,-1.2
196207,54.2,-3.3
196208,53.7,-1.7
196209,43.9,-3.4
196210,39.2,2.8
196211,25.8,1.5
196212,9.2,-2.1
196301,-5.2,-9.5
196302,-1.2,-9.0
196303,19.2,0.2
196304,32.5,0.7
196305,40.5,-2.4
196306,52.8,0.0
196307,57.0,-0.5
196308,52.7,-2.7
196309,47.0,-0.3
196310,43.9,7.5
196311,28.4,4.1
196312,1.8,-9.5
196401,10.4,6.1
196402,9.3,1.5
196403,16.4,-2.6
196404,32.6,0.8
196405,46.8,3.9
196406,52.0,-0.8
196407,58.4,0.9
196408,52.6,-2.8
196409,46.6,-0.7
196410,33.6,-2.8
196411,25.9,1.6
196412,5.8,-5.5
196501,0.5,-3.8
196502,1.2,-6.6
196503,11.7,-7.3
196504,30.5,-1.3
196505,45.9,3.0
196506,50.2,-2.6
196507,54.4,-3.1
196508,53.6,-1.8
196509,45.1,-2.2
196510,36.8,0.4
196511,24.2,-0.1
196512,19.3,8.0
196601,-5.5,-9.8
196602,6.9,-0.9
196603,22.5,3.5
196604,30.0,-1.8
196605,37.1,-5.8
196606,52.6,-0.2
196607,58.6,1.1
196608,53.2,-2.2
196609,44.8,-2.5
196610,34.5,-1.9
196611,23.8,-0.5
196612,10.4,-0.9
196701,6.8,2.5
196702,-2.0,-9.8
196703,18.4,-0.6
196704,32.2,0.4
196705,36.5,-6.4
196706,53.4,0.6
196707,54.3,-3.2
196708,50.3,-5.1
196709,44.1,-3.2
196710,35.5,-0.9
196711,21.8,-2.5
196712,12.4,1.1
196801,4.6,0.3
196802,3.4,-4.4
196803,24.0,5.0
196804,33.2,1.4
196805,40.5,-2.4
196806,52.6,-0.2
196807,56.3,-1.2
196808,55.0,-0.4
196809,48.2,0.9
196810,39.3,2.9
196811,25.2,0.9
196812,9.8,-1.5
196901,2.6,-1.7
196902,8.6,0.8
196903,12.5,-6.5
196904,33.5,1.7
196905,42.8,-0.1
196906,47.0,-5.8
196907,56.6,-0.9
196908,55.8,0.4
196909,46.6,-0.7
196910,34.9,-1.5
196911,22.1,-2.2
196912,12.3,1.0
197001,-3.4,-7.7
197002,2.7,-5.1
197003,14.5,-4.5
197004,32.8,1.0
197005,44.1,1.2
197006,53.9,1.1
197007,58.1,0.6
197008,54.3,-1.1
197009,48.1,0.8
197010,39.2,2.8
197011,24.5,0.2
197012,9.6,-1.7
197101,-3.7,-8.0
197102,5.7,-2.1
197103,15.0,-4.0
197104,29.7,-2.1
197105,38.1,-4.8
197106,55.9,3.1
197107,53.7,-3.8
197108,51.7,-3.7
197109,49.4,2.1
197110,44.0,7.6
197111,25.3,1.0
197112,13.0,1.7
197201,-3.7,-8.0
197202,1.0,-6.8
197203,13.9,-5.1
197204,27.9,-3.9
197205,44.7,1.8
197206,48.9,-3.9
197207,55.8,-1.7
197208,56.2,0.8
197209,46.4,-0.9
197210,33.6,-2.8
197211,25.9,1.6
